"0902.3693","Henry Wilton","Cameron Gordon and Henry Wilton","On surface subgroups of doubles of free groups","21 pages, 1 figure",,"10.1112/jlms/jdq007",,"math.GR math.GT","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We give several sufficient conditions for a double of a free group along a
cyclic subgroup to contain a surface subgroup.
","[{""version"":""v1"",""created"":""Sat, 21 Feb 2009 20:35:13 GMT""}]","2014-02-26"
"0902.3702","Eduardo Rozo","Eduardo Rozo, Risa H. Wechsler, Eli S. Rykoff, James T. Annis, Matthew
  R. Becker, August E. Evrard, Joshua A. Frieman, Sarah M. Hansen, Jiangang
  Hao, David E. Johnston, Benjamin P. Koester, Timothy A. McKay, Erin S.
  Sheldon, David H. Weinberg","Cosmological Constraints from the SDSS maxBCG Cluster Catalog","comments welcome","Astrophys.J.708:645-660,2010","10.1088/0004-637X/708/1/645",,"astro-ph.CO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We use the abundance and weak lensing mass measurements of the SDSS maxBCG
cluster catalog to simultaneously constrain cosmology and the richness--mass
relation of the clusters. Assuming a flat \LambdaCDM cosmology, we find
\sigma_8(\Omega_m/0.25)^{0.41} = 0.832\pm 0.033 after marginalization over all
systematics. In common with previous studies, our error budget is dominated by
systematic uncertainties, the primary two being the absolute mass scale of the
weak lensing masses of the maxBCG clusters, and uncertainty in the scatter of
the richness--mass relation. Our constraints are fully consistent with the WMAP
five-year data, and in a joint analysis we find \sigma_8=0.807\pm 0.020 and
\Omega_m=0.265\pm 0.016, an improvement of nearly a factor of two relative to
WMAP5 alone. Our results are also in excellent agreement with and comparable in
precision to the latest cosmological constraints from X-ray cluster abundances.
The remarkable consistency among these results demonstrates that cluster
abundance constraints are not only tight but also robust, and highlight the
power of optically-selected cluster samples to produce precision constraints on
cosmological parameters.
","[{""version"":""v1"",""created"":""Sat, 21 Feb 2009 16:27:32 GMT""}]","2010-04-15"
"0902.3725","K. P. Unnikrishnan","Casey Diekman, Kohinoor Dasgupta, Vijay Nair, P.S. Sastry, K.P.
  Unnikrishnan","Statistical Inference of Functional Connectivity in Neuronal Networks
  using Frequent Episodes","15 pages",,,,"q-bio.NC cond-mat.dis-nn cs.DB q-bio.QM stat.ME","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Identifying the spatio-temporal network structure of brain activity from
multi-neuronal data streams is one of the biggest challenges in neuroscience.
Repeating patterns of precisely timed activity across a group of neurons is
potentially indicative of a microcircuit in the underlying neural tissue.
Frequent episode discovery, a temporal data mining framework, has recently been
shown to be a computationally efficient method of counting the occurrences of
such patterns. In this paper, we propose a framework to determine when the
counts are statistically significant by modeling the counting process. Our
model allows direct estimation of the strengths of functional connections
between neurons with improved resolution over previously published methods. It
can also be used to rank the patterns discovered in a network of neurons
according to their strengths and begin to reconstruct the graph structure of
the network that produced the spike data. We validate our methods on simulated
data and present analysis of patterns discovered in data from cultures of
cortical neurons.
","[{""version"":""v1"",""created"":""Sun, 22 Feb 2009 02:34:27 GMT""}]","2009-03-03"
"0902.3743","Sheldon Stone","Marina Artuso, Elisabetta Barberio, and Sheldon Stone","B Meson Decays","80 pages, 29 figures, invited review article for PMC Physics A;
  version 2 a few minor corrections, version 3 fixed some references, version 4
  two minor fixes","PMC Physics A 2009, 3:3","10.1186/1754-0410-3-3",,"hep-ph hep-ex hep-lat","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We discuss the most important Physics thus far extracted from studies of B
meson decays. Measurements of the four CP violating angles accessible in B
decay are reviewed as well as direct CP violation. A detailed discussion of the
measurements of the CKM elements V_{cb} and V_{ub} from semileptonic decays is
given, and the differences between resulting values using inclusive decays
versus exclusive decays is discussed. Measurements of ""rare"" decays are also
reviewed. We point out where CP violating and rare decays could lead to
observations of physics beyond that of the Standard Model in future
experiments. If such physics is found by directly observation of new particles,
e.g. in LHC experiments, B decays can play a decisive role in interpreting the
nature of these particles.
","[{""version"":""v1"",""created"":""Sat, 21 Feb 2009 16:01:15 GMT""},{""version"":""v2"",""created"":""Tue, 10 Mar 2009 20:33:18 GMT""},{""version"":""v3"",""created"":""Fri, 20 Mar 2009 20:24:34 GMT""},{""version"":""v4"",""created"":""Thu, 3 Dec 2009 10:37:20 GMT""}]","2009-12-03"
"0902.3744","Dimiter Trifonov","D.A. Trifonov","Pseudo-Boson Coherent and Fock States","10 pages, no figures. Based on talk given at 9th IC on Complex
  Structures, Integrability and Vector Fields, Sofia, August 2008","in Differential Geometry, Complex Analysis and Mathematical
  Physics, eds. K. Sekigawa et al (W. Scientific 2009), pp. 241-250",,,"quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Coherent states (CS) for non-Hermitian systems are introduced as eigenstates
of pseudo-Hermitian boson annihilation operators. The set of these CS includes
two subsets which form bi-normalized and bi-overcomplete system of states. The
subsets consist of eigenstates of two complementary lowering pseudo-Hermitian
boson operators. Explicit constructions are provided on the example of
one-parameter family of pseudo-boson ladder operators. The wave functions of
the eigenstates of the two complementary number operators, which form a
bi-orthonormal system of Fock states, are found to be proportional to new
polynomials, that are bi-orthogonal and can be regarded as a generalization of
standard Hermite polynomials.
","[{""version"":""v1"",""created"":""Sat, 21 Feb 2009 19:33:18 GMT""}]","2010-06-15"
"0902.3745","Marco Spadini","Marco Spadini","A note on topological methods for a class of Differential-Algebraic
  Equations","16 pages Changes in new version: A few typos across the paper; Wrong
  cross references at page one; Statement and proof of Theorem 5.1 revised;
  $\deg(F,U)=1$ in Example 5.2; $p_n\to p_0$ in the proof of Lemma 5.5;
  inequality instead of equality in line 18, page 15; Assumption $A$ bounded
  added in Corollary 5.3",,,,"math.CA math.DS","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We study a particular class of autonomous Differential-Algebraic Equations
that are equivalent to Ordinary Differential Equations on manifolds. Under
appropriate assumptions we determine an easy-to-use straightforward formula for
the computation of the degree of the associated tangent vector field that does
not require any explicit knowledge of the manifold. We use this formula to
study the set of harmonic solutions to periodic perturbations of our equations.
Two different classes of applications are provided.
","[{""version"":""v1"",""created"":""Sat, 21 Feb 2009 16:35:49 GMT""},{""version"":""v2"",""created"":""Fri, 14 Aug 2009 07:00:42 GMT""}]","2009-08-14"
"0902.3746","Orlando Luongo","Orlando Luongo and Carmine Autieri","Scale-Free model for governing universe dynamics","7 pages, 4 figures",,"10.1209/0295-5075/90/39001",,"gr-qc","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We investigate the effects of scale-free model on cosmology, providing, in
this way, a statistical background in the framework of general relativity. In
order to discuss properties and time evolution of some relevant universe
dynamical parameters (cosmographic parameters), such as $H(t)$ (Hubble
parameter), $q(t)$ (deceleration parameter), $j(t)$ (jerk parameter) and $s(t)$
(snap parameter), which are well re-defined in the framework of scale-free
model, we analyze a comparison between WMAP data. Hence the basic purpose of
the work is to consider this statistical interpretation of mass distribution of
universe, in order to have a mass density $\rho$ dynamics, not inferred from
Friedmann equations, via scale factor $a(t)$. This model, indeed, has been used
also to explain a possible origin and a viable explanation of cosmological
constant, which assumes a statistical interpretation without the presence of
extended theories of gravity; hence the problem of dark energy could be
revisited in the context of a classical probability distribution of mass, which
is, in particular, for the scale-free model, $P(k)\sim k^{-\gamma}$, with
$2<\gamma<3$. The $\Lambda$CDM model becomes, with these considerations, a
consequence of the particular statistics together with the use of general
relativity.
","[{""version"":""v1"",""created"":""Sat, 21 Feb 2009 16:37:46 GMT""},{""version"":""v2"",""created"":""Tue, 24 Feb 2009 19:31:30 GMT""},{""version"":""v3"",""created"":""Sat, 25 Apr 2009 15:20:31 GMT""}]","2015-05-13"
"0902.3747","Barry Madore","Barry F. Madore and Wendy L. Freedman","Concerning the Slope of the Cepheid Period-Luminosity Relation","11 pages, 3 figures. Accepted to the ApJ","Astrophys.J.696:1498-1501,2009","10.1088/0004-637X/696/2/1498",,"astro-ph.CO astro-ph.GA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We discuss the impact of possible differences in the slope of the Cepheid
Period-Luminosity relation on the determination of extragalactic distances in
the context of recent studies that suggest changes in this slope. We show that
the Wesenheit function W = V - R x ((V-I), widely used for the determination of
Cepheid distances, is expected to be highly insensitive to changes in the slope
of the underlying (monochromatic) Period-Luminosity (PL) relations. This occurs
because the reddening trajectories in the color-magnitude plane are closely
parallel to lines of constant period. As a result W-based Period-Luminosity
relations have extremely low residual dispersion, which is because differential
(and total line-of-sight) reddening is eliminated in the definition of W and
the residual scatter due to a star's intrinsic color/position within the
Cepheid is also largely insensitive to W. Basic equations are presented and
graphically illustrated, showing the insensitivity of W to changes in the
monochromatic PL relations.
","[{""version"":""v1"",""created"":""Sat, 21 Feb 2009 16:55:58 GMT""}]","2011-02-11"
"0902.3748","Przemyslaw Perlikowski","S. Yanchuk, P. Perlikowski","DelayAndPeriodicity","24 pages, 9 figures",,"10.1103/PhysRevE.79.046221",,"nlin.CD","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Systems with time delay play an important role in modeling of many physical
and biological processes. In this paper we describe generic properties of
systems with time delay, which are related to the appearance and stability of
periodic solutions. In particular, we show that delay systems generically have
families of periodic solutions, which are reappearing for infinitely many delay
times. As delay increases, the solution families overlap leading to increasing
coexistence of multiple stable as well as unstable solutions. We also consider
stability issue of periodic solutions with large delay by explaining asymptotic
properties of the spectrum of characteristic multipliers. We show that the
spectrum of multipliers can be splitted into two parts: pseudo-continuous and
strongly unstable. The pseudo-continuous part of the spectrum mediates
destabilization of periodic solutions.
","[{""version"":""v1"",""created"":""Sat, 21 Feb 2009 17:02:20 GMT""}]","2015-05-13"
"0902.3749","Claus-Peter Wirth","Claus-Peter Wirth","Hilbert's epsilon as an Operator of Indefinite Committed Choice","ii + 73 pages. arXiv admin note: substantial text overlap with
  arXiv:1104.2444","Journal of Applied Logic 6 (2008), pp. 287-317","10.1016/j.jal.2007.07.009","SEKI Report SR-2006-02","cs.AI cs.LO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Paul Bernays and David Hilbert carefully avoided overspecification of
Hilbert's epsilon-operator and axiomatized only what was relevant for their
proof-theoretic investigations. Semantically, this left the epsilon-operator
underspecified. In the meanwhile, there have been several suggestions for
semantics of the epsilon as a choice operator. After reviewing the literature
on semantics of Hilbert's epsilon operator, we propose a new semantics with the
following features: We avoid overspecification (such as right-uniqueness), but
admit indefinite choice, committed choice, and classical logics. Moreover, our
semantics for the epsilon supports proof search optimally and is natural in the
sense that it does not only mirror some cases of referential interpretation of
indefinite articles in natural language, but may also contribute to philosophy
of language. Finally, we ask the question whether our epsilon within our
free-variable framework can serve as a paradigm useful in the specification and
computation of semantics of discourses in natural language.
","[{""version"":""v1"",""created"":""Sat, 21 Feb 2009 17:04:16 GMT""},{""version"":""v2"",""created"":""Sun, 23 May 2010 16:23:47 GMT""},{""version"":""v3"",""created"":""Mon, 16 Jan 2012 21:10:14 GMT""}]","2013-09-17"
