"0903.1303","Tianjun Li","Tianjun Li, Nick E. Mavromatos, Dimitri V. Nanopoulos, Dan Xie","Time Delays of Strings in D-particle Backgrounds and Vacuum Refractive
  Indices","RevTex4, 10 pages, 3 eps.figures incorporated, amended discussion on
  Lorentz symmetry (section I), and on gamma-ray phenomenology, based on
  version to appear in Phys. Lett. B","Phys.Lett.B679:407-413,2009","10.1016/j.physletb.2009.07.062","ACT-04-09, MIFP-09-10","hep-th astro-ph.HE gr-qc hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Using standard techniques in string/D-brane scattering amplitude
computations, we evaluate the scattering of open strings off D-particles in
brane world scenarios. The D-particles are viewed as D3 branes wrapped up
around three cycles, and their embedding in brane worlds constitutes a case of
intersecting branes, among which strings are stretched, representing various
types of excitations of the Standard Model (SM) particles in the low-energy
limit. Our analysis, reveals interesting and novel selection rules for the
resulting causal time delays, proportional to the energy of the incident matter
state, from the processes of splitting, capture and re-emission of the latter
by the D-particles. In particular, we show that there are relatively large time
delays only for excitations that belong to the Cartan subalgebra of the SM
gauge group, which notably includes photons. We discuss the possible relevance
of these results to the models of space time foam predicting a non-trivial
vacuum refractive index for photons and the associated cosmic \gamma-ray
phenomenology. In particular, we demonstrate how low-string-scale models can be
falsified already in this context, by current astrophysical observations of
cosmic photons, and how such observations serve as a way to discriminate low-
from high-string scale models.
","[{""version"":""v1"",""created"":""Sat, 7 Mar 2009 23:36:10 GMT""},{""version"":""v2"",""created"":""Tue, 30 Jun 2009 11:02:21 GMT""}]","2009-09-28"
"0903.1311","Haihong Che","H. Che, J. F. Drake, M. Swisdak, P. H. Yoon","Nonlinear Development of Streaming Instabilities In Strongly Magnetized
  Plasmas","Accepted by PRL",,"10.1103/PhysRevLett.102.145004",,"physics.space-ph astro-ph.SR physics.plasm-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The nonlinear development of streaming instabilities in the current layers
formed during magnetic reconnection with a guide field is explored. Theory and
3-D particle-in-cell simulations reveal two distinct phases. First, the
parallel Buneman instability grows and traps low velocity electrons. The
remaining electrons then drive two forms of turbulence: the parallel
electron-electron two-stream instability and the nearly-perpendicular lower
hybrid instability. The high velocity electrons resonate with the turbulence
and transfer momentum to the ions and low velocity electrons.
","[{""version"":""v1"",""created"":""Sat, 7 Mar 2009 16:50:42 GMT""},{""version"":""v2"",""created"":""Thu, 12 Mar 2009 15:32:07 GMT""}]","2015-05-13"
"0903.1349","Bradley E. Schaefer","Bradley E. Schaefer","Orbital Periods for Three Recurrent Novae","Astrophysical Journal, in press, 24 pages, 4 figures","Astrophys.J.697:721-729,2009","10.1088/0004-637X/697/1/721",,"astro-ph.SR","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  I report on the discovery of the orbital periods of three recurrent novae in
our galaxy. V745 Sco has an orbital period of 510+-20 days with ellipsoidal
modulations, based on SMARTS photometry from 2004-2008. V3890 Sgr has an
orbital period of 519.7+-0.3 days with ellipsoidal modulations and a shallow
eclipse, based primarily on SMARTS and AAVSO photometry from 1995-2008, but
also extending back to 1899 with archival plates. In addition, a sinusoidal
modulation of amplitude 0.2 mag and period 103.8+-0.4 days is seen mainly in
the red, with this attributed to ordinary pulsations in the giant companion
star. V394 CrA has an orbital period equal to twice its primary photometric
period (P_orb=1.515682+-0.000008 days), as based on photometry extending from
1989-2008. I use all available information (including the UBVRIJHK spectral
energy distributions) to get distances to the four RNe with red giant
companions as 800+-140 pc for T CrB, 4300+-700 pc for RS Oph, 7300+-1200 pc for
V745 Sco, and 6000+-1000 pc for V3890 Sgr. Further, the red giant in the RS Oph
system has a mass loss rate of close to 3.7x10^-8 M_sun/yr as based on many
confident measures, and this is too weak (by a factor of 100,000) to supply the
white dwarf with mass at the known rate of 3.9x10^-6 M_sun/yr. Thus, the only
way to get matter onto the white dwarf fast enough is through Roche lobe
overflow, and this confidently demonstrates that the distance to RS Oph is
>~3000 pc.
","[{""version"":""v1"",""created"":""Sat, 7 Mar 2009 16:09:14 GMT""}]","2011-02-11"
"0903.1350","Yun-Su Kim","Yun-Su Kim","Algebraic Elements and Invariant Subspaces","6 pages",,,,"math.GM","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We prove that if a completely non-unitary contraction T in L(H) has a
non-trivial algebraic element h, then T has a non-trivial invariant subspace.
","[{""version"":""v1"",""created"":""Sat, 7 Mar 2009 16:23:12 GMT""}]","2009-03-10"
"0903.1351","Jason Ybarra","Jason E. Ybarra and Elizabeth A. Lada","Spitzer IRAC Detection and Analysis of Shocked Molecular Hydrogen
  Emission","4 page, 3 figures, accepted for publication in ApJ Letters",,"10.1088/0004-637X/695/1/L120",,"astro-ph.SR","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We use statistical equilibrium equations to investigate the IRAC color space
of shocked molecular hydrogen. The location of shocked H_2 in [3.6]-[4.5] vs
[4.5]-[5.8] color is determined by the gas temperature and density of neutral
atomic hydrogen. We find that high excitation H_2 emission falls in a unique
location in the color-color diagram and can unambiguously be distinguished from
stellar sources. In addition to searching for outflows, we show that the IRAC
data can be used to map the thermal structure of the shocked gas. We analyze
archival Spitzer data of Herbig-Haro object HH 54 and create a temperature map,
which is consistent with spectroscopically determined temperatures.
","[{""version"":""v1"",""created"":""Sat, 7 Mar 2009 20:28:52 GMT""}]","2009-11-13"
"0903.1352","Alban Ponse","Jan A. Bergstra and Alban Ponse","An Instruction Sequence Semigroup with Involutive Anti-Automorphisms","36 pages, 1 table","Scientific Annals of Computer Science, 19:57-92, 2009",,,"cs.PL math.RA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We introduce an algebra of instruction sequences by presenting a semigroup C
in which programs can be represented without directional bias: in terms of the
next instruction to be executed, C has both forward and backward instructions
and a C-expression can be interpreted starting from any instruction. We provide
equations for thread extraction, i.e., C's program semantics. Then we consider
thread extraction compatible (anti-)homomorphisms and (anti-)automorphisms.
Finally we discuss some expressiveness results.
","[{""version"":""v1"",""created"":""Sat, 7 Mar 2009 17:14:44 GMT""},{""version"":""v2"",""created"":""Sat, 7 Nov 2009 13:19:57 GMT""}]","2009-11-07"
"0903.1354","Axel Weiss","G. Siringo, E. Kreysa, A. Kovacs, F. Schuller, A. Weiss, W. Esch, H.P.
  Gemuend, N. Jethava, G. Lundershausen, A. Colin, R. Guesten, K.M. Menten, A.
  Beelen, F. Bertoldi, J.W. Beeman, E.E. Haller","The Large APEX Bolometer Camera LABOCA","Accepted for publication in A&A, 18 pages, 18 figures",,"10.1051/0004-6361/200811454",,"astro-ph.IM","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The Large APEX Bolometer Camera, LABOCA, has been commissioned for operation
as a new facility instrument t the Atacama Pathfinder Experiment 12m
submillimeter telescope. This new 295-bolometer total power camera, operating
in the 870 micron atmospheric window, combined with the high efficiency of APEX
and the excellent atmospheric transmission at the site, offers unprecedented
capability in mapping submillimeter continuum emission for a wide range of
astronomical purposes.
","[{""version"":""v1"",""created"":""Sat, 7 Mar 2009 17:38:18 GMT""}]","2009-11-13"
"0903.1355","Andrea Carati","A. Carati, S.L. Cacciatori and L. Galgani","Discrete Matter, Far Fields, and Dark Matter","16 pages, 1 figure. LaTex document","Europhys.Lett.83:59002,2008","10.1209/0295-5075/83/59002",,"astro-ph.CO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We show that in cosmology the gravitational action of the far away matter has
quite relevant effects, if retardation of the forces and discreteness of matter
(with its spatial correlation) are taken into account. The expansion rate is
found to be determined by the density of the far away matter, i.e., by the
density of matter at remote times. This leads to the introduction of an
effective density, which has to be five times larger than the present one, if
the present expansion rate is to be accounted for. The force per unit mass on a
test particle is found to be of the order of 0.2cH_0. The corresponding
contribution to the virial of the forces for a cluster of galaxies is also
discussed, and it is shown that it fits the observations if a decorrelation
property of the forces at two separated points is assumed. So it appears that
the gravitational effects of the far away matter may have the same order of
magnitude as the corresponding local effects of dark matter.
","[{""version"":""v1"",""created"":""Sat, 7 Mar 2009 18:01:59 GMT""}]","2009-08-03"
"0903.1356","Alex Liberzon","M. Kholmyansky, A. Tsinober","On an alternative explanation of anomalous scaling and how well-defined
  is the concept of inertial range","7 pages, 6 figures",,"10.1016/j.physleta.2009.04.071",,"physics.flu-dyn","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The main point of this communication is that there is a small non-negligible
amount of eddies-outliers/very strong events (comprising a significant subset
of the tails of the PDF of velocity increments in the nominally-defined
inertial range) for which viscosity/dissipation is of utmost importance at
whatever high Reynolds number. These events contribute significantly to the
values of higher-order structure functions and their anomalous scaling. Thus
the anomalous scaling is not an attribute of the conventionally-defined
inertial range, and the latter is not a well-defined concept. The claim above
is supported by an analysis of high-Reynolds-number flows in which among other
things it was possible to evaluate the instantaneous rate of energy
dissipation.
","[{""version"":""v1"",""created"":""Sat, 7 Mar 2009 18:04:21 GMT""}]","2015-05-13"
"0903.1357","Elzbieta Kuligowska mrs","S. Qian, L. Zhu, S. Zola, W. Liao, L. Liu, L. Li, M. Winiarski, E.
  Kuligowska, J. Kreiner","Detection of a tertiary brown dwarf companion in the sdB-type eclipsing
  binary HS 0705+6700","10 pages, 3 figures To be published in Astrophysical Journal",,"10.1088/0004-637X/695/2/L163",,"astro-ph.SR","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  HS 0705+6700 is a short-period (P=2.3 hours), close binary containing a hot
sdB-type primary and a fully convective secondary. We have monitored this
eclipsing binary for more than 2 years and as a result, 32 times of light
minimum were obtained. Based on our new eclipse times together with these
compiled from the literature, it is discovered that the O-C curve of HS
0705+6700 shows a cyclic variation with a period of 7.15 years and a
semiamplitude of 92.4 s. The periodic change was analyzed for the light-travel
time effect that may be due to the presence of a tertiary companion. The mass
of the third body is determined to be M3 sin i = 0.0377 (+/-0.0043) Msun when a
total mass of 0.617 Msun for HS 0705+6700 is adopted. For orbital inclinations
i >= 32.8, the mass of the tertiary component would be below the stable
hydrogen-burning limit of M3~0.072 Msun, and thus it would be a brown dwarf.
The third body is orbiting the sdB-type binary at a distance shorter than 3.6
astronomical units (AU). HS 0705+6700 was formed through the evolution of a
common envelope after the primary becomes a red giant. The detection of a
sub-stellar companion in HS 0705+6700 system at this distance from the binary
could give some constraints on stellar evolution in such systems and the
interactions between red giants and their companions.
","[{""version"":""v1"",""created"":""Sat, 7 Mar 2009 18:23:54 GMT""},{""version"":""v2"",""created"":""Mon, 16 Mar 2009 16:39:11 GMT""}]","2009-11-13"
